module,acc_path,bit,value,effective_fault,error_detected,output_correct
TMRPE,/tb_TMRPE/dut/pe2/accumulator,27,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,27,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,28,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,28,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,29,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,29,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,30,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,30,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,31,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,31,1,1,1,1
