module,acc_path,bit,value,effective_fault,error_detected,output_correct
TMRPE,/tb_TMRPE/dut/pe0/accumulator,19,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,19,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,20,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,20,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,21,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,21,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,22,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,22,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,23,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,23,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,24,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,24,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,25,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,25,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,26,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,26,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,27,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,27,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,28,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,28,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,29,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,29,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,30,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,30,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,31,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe0/accumulator,31,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,0,0,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,0,1,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,1,0,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,1,1,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,2,0,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,2,1,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,3,0,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,3,1,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,4,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,4,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,5,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,5,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,6,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,6,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,7,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,7,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,8,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,8,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,9,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,9,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,10,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,10,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,11,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,11,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,12,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,12,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,13,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,13,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,14,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,14,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,15,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,15,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,16,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,16,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,17,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,17,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,18,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,18,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,19,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,19,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,20,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,20,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,21,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,21,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,22,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,22,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,23,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,23,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,24,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,24,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,25,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,25,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,26,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,26,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,27,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,27,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,28,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,28,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,29,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,29,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,30,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,30,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,31,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe1/accumulator,31,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,0,0,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,0,1,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,1,0,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,1,1,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,2,0,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,2,1,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,3,0,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,3,1,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,4,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,4,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,5,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,5,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,6,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,6,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,7,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,7,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,8,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,8,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,9,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,9,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,10,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,10,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,11,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,11,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,12,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,12,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,13,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,13,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,14,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,14,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,15,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,15,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,16,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,16,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,17,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,17,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,18,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,18,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,19,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,19,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,20,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,20,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,21,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,21,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,22,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,22,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,23,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,23,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,24,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,24,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,25,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,25,1,1,1,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,26,0,0,0,1
TMRPE,/tb_TMRPE/dut/pe2/accumulator,26,1,1,1,1
